iters f1 f2 f3 f4 f5 f6 
88 0.000000079235887 0.000000016196165 0.000000000000000 0.000000000000000 0.000000017451742 0.000000096928539 
89 0.000000070493587 0.000000013702841 0.000000000000000 0.000000000000000 0.000000014493376 0.000000084274433 
90 0.000000062641647 0.000000011994609 0.000000000000000 0.000000000000000 0.000000012136424 0.000000072874829 
91 0.000000054130431 0.000000010549831 0.000000000000000 0.000000000000000 0.000000009661912 0.000000061668820 
92 0.000000046523569 0.000000009245643 0.000000000000000 0.000000000000000 0.000000000000000 0.000000053468757 
93 0.000000040676939 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000045647401 
94 0.000000035669821 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000039740633 
95 0.000000030460017 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000034195633 
96 0.000000025115143 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000029384719 
97 0.000000020517545 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000025030016 
98 0.000000016799730 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000021513992 
99 0.000000013491118 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000018327919 
100 0.000000010716083 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000016405526 
101 0.000000008514892 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000014162675 
102 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000012259261 
103 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000010409087 
